"from_name","to_name","level","from","to","title"
"elect_td_ind","H2 central production","1",1,8,"supplemental info"
"regional biomass","H2 central production","1",2,8,"supplemental info"
"regional natural gas","H2 central production","1",3,8,"supplemental info"
"nuclearFuelGenIII","H2 central production","1",4,8,"supplemental info"
"global solar resource","H2 central production","1",5,8,"supplemental info"
"onshore wind resource","H2 central production","1",6,8,"supplemental info"
"H2 wholesale delivery","H2 industrial","1",7,15,"supplemental info"
"elect_td_ind","H2 industrial","1",1,15,"supplemental info"
"H2 central production","H2 liquid truck","1",8,10,"supplemental info"
"elect_td_ind","H2 liquid truck","1",1,10,"supplemental info"
"H2 central production","H2 pipeline","1",8,11,"supplemental info"
"elect_td_ind","H2 pipeline","1",1,11,"supplemental info"
"H2 wholesale delivery","H2 retail delivery","1",7,23,"supplemental info"
"H2 wholesale dispensing","H2 retail dispensing","1",9,61,"supplemental info"
"H2 liquid truck","H2 wholesale delivery","1",10,7,"supplemental info"
"H2 pipeline","H2 wholesale delivery","1",11,7,"supplemental info"
"H2 liquid truck","H2 wholesale dispensing","1",10,9,"supplemental info"
"elect_td_trn","H2 wholesale dispensing","1",12,9,"supplemental info"
"H2 pipeline","H2 wholesale dispensing","1",11,9,"supplemental info"
"delivered gas","H2 wholesale dispensing","1",13,9,"supplemental info"
"wholesale gas","N fertilizer","1",14,150,"supplemental info"
"H2 industrial","N fertilizer","1",15,150,"supplemental info"
"refined liquids industrial","N fertilizer","1",16,150,"supplemental info"
"elect_td_ind","agricultural energy use","1",1,194,"supplemental info"
"H2 wholesale dispensing","agricultural energy use","1",9,194,"supplemental info"
"refined liquids industrial","agricultural energy use","1",16,194,"supplemental info"
"delivered biomass","agricultural energy use","1",17,194,"supplemental info"
"wholesale gas","backup_electricity","1",14,31,"supplemental info"
"bio_externality_cost","biomass","1",18,59,"supplemental info"
"elect_td_ind","cement","1",1,195,"supplemental info"
"process heat cement","cement","1",19,195,"supplemental info"
"elect_td_bld","comm cooling","1",20,196,"supplemental info"
"delivered coal","comm heating","1",21,197,"supplemental info"
"refined liquids enduse","comm heating","1",22,197,"supplemental info"
"delivered biomass","comm others","1",17,198,"supplemental info"
"delivered coal","comm others","1",21,198,"supplemental info"
"elect_td_bld","comm others","1",20,198,"supplemental info"
"delivered gas","comm others","1",13,198,"supplemental info"
"H2 retail delivery","comm others","1",23,198,"supplemental info"
"refined liquids enduse","comm others","1",22,198,"supplemental info"
"construction energy use","construction","1",24,199,"supplemental info"
"construction feedstocks","construction","1",25,199,"supplemental info"
"elect_td_ind","construction energy use","1",1,24,"supplemental info"
"H2 wholesale dispensing","construction energy use","1",9,24,"supplemental info"
"refined liquids industrial","construction energy use","1",16,24,"supplemental info"
"refined liquids industrial","construction feedstocks","1",16,25,"supplemental info"
"regional biomass","delivered biomass","1",2,17,"supplemental info"
"regional coal","delivered coal","1",26,21,"supplemental info"
"gas pipeline","delivered gas","1",27,13,"supplemental info"
"elect_td_ind","desalinated water","1",1,156,"supplemental info"
"wholesale gas","desalinated water","1",14,156,"supplemental info"
"refined liquids industrial","desalinated water","1",16,156,"supplemental info"
"global solar resource","elec_CSP_storage","1",5,43,"supplemental info"
"nuclearFuelGenIII","elec_Gen_III","1",4,40,"supplemental info"
"regional biomass","elec_biomass (IGCC)","1",2,33,"supplemental info"
"regional biomass","elec_biomass (conv)","1",2,34,"supplemental info"
"regional coal","elec_coal (IGCC)","1",26,35,"supplemental info"
"regional coal","elec_coal (conv pul)","1",26,36,"supplemental info"
"wholesale gas","elec_gas (CC)","1",14,37,"supplemental info"
"wholesale gas","elec_gas (steam/CT)","1",14,38,"supplemental info"
"geothermal","elec_geothermal","1",28,39,"supplemental info"
"oil-credits","elec_refined liquids (CC)","1",29,41,"supplemental info"
"refined liquids industrial","elec_refined liquids (CC)","1",16,41,"supplemental info"
"oil-credits","elec_refined liquids (steam/CT)","1",29,42,"supplemental info"
"refined liquids industrial","elec_refined liquids (steam/CT)","1",16,42,"supplemental info"
"electricity_net_ownuse","elect_td_bld","1",30,20,"supplemental info"
"backup_electricity","elect_td_bld","1",31,20,"supplemental info"
"distributed_solar","elect_td_bld","1",32,20,"supplemental info"
"electricity_net_ownuse","elect_td_ind","1",30,1,"supplemental info"
"electricity_net_ownuse","elect_td_trn","1",30,12,"supplemental info"
"elec_biomass (IGCC)","electricity","1",33,45,"supplemental info"
"elec_biomass (conv)","electricity","1",34,45,"supplemental info"
"elec_coal (IGCC)","electricity","1",35,45,"supplemental info"
"elec_coal (conv pul)","electricity","1",36,45,"supplemental info"
"elec_gas (CC)","electricity","1",37,45,"supplemental info"
"elec_gas (steam/CT)","electricity","1",38,45,"supplemental info"
"elec_geothermal","electricity","1",39,45,"supplemental info"
"elec_Gen_III","electricity","1",40,45,"supplemental info"
"elec_refined liquids (CC)","electricity","1",41,45,"supplemental info"
"elec_refined liquids (steam/CT)","electricity","1",42,45,"supplemental info"
"elec_CSP_storage","electricity","1",43,45,"supplemental info"
"backup_electricity","electricity","1",31,45,"supplemental info"
"global solar resource","electricity","1",5,45,"supplemental info"
"onshore wind resource","electricity","1",6,45,"supplemental info"
"offshore wind resource","electricity","1",44,45,"supplemental info"
"electricity","electricity_net_ownuse","1",45,30,"supplemental info"
"gas processing","gas pipeline","1",46,27,"supplemental info"
"regional biomass","gas processing","1",2,46,"supplemental info"
"regional coal","gas processing","1",26,46,"supplemental info"
"regional natural gas","gas processing","1",3,46,"supplemental info"
"elect_td_ind","industrial wastewater treatment","1",1,174,"supplemental info"
"elect_td_ind","industrial water abstraction","1",1,175,"supplemental info"
"elect_td_ind","industrial water treatment","1",1,176,"supplemental info"
"delivered coal","iron and steel","1",21,117,"supplemental info"
"elect_td_ind","iron and steel","1",1,117,"supplemental info"
"refined liquids industrial","iron and steel","1",16,117,"supplemental info"
"wholesale gas","iron and steel","1",14,117,"supplemental info"
"H2 industrial","iron and steel","1",15,117,"supplemental info"
"delivered biomass","iron and steel","1",17,117,"supplemental info"
"elect_td_ind","irrigation water abstraction","1",1,177,"supplemental info"
"elect_td_ind","mining energy use","1",1,200,"supplemental info"
"H2 wholesale dispensing","mining energy use","1",9,200,"supplemental info"
"refined liquids industrial","mining energy use","1",16,200,"supplemental info"
"elect_td_bld","municipal wastewater treatment","1",20,178,"supplemental info"
"elect_td_bld","municipal water abstraction","1",20,180,"supplemental info"
"elect_td_bld","municipal water distribution","1",20,179,"supplemental info"
"elect_td_bld","municipal water treatment","1",20,181,"supplemental info"
"delivered biomass","other industrial energy use","1",17,47,"supplemental info"
"delivered coal","other industrial energy use","1",21,47,"supplemental info"
"elect_td_ind","other industrial energy use","1",1,47,"supplemental info"
"wholesale gas","other industrial energy use","1",14,47,"supplemental info"
"H2 industrial","other industrial energy use","1",15,47,"supplemental info"
"H2 wholesale delivery","other industrial energy use","1",7,47,"supplemental info"
"refined liquids industrial","other industrial energy use","1",16,47,"supplemental info"
"wholesale gas","other industrial feedstocks","1",14,48,"supplemental info"
"oil-credits","other industrial feedstocks","1",29,48,"supplemental info"
"refined liquids industrial","other industrial feedstocks","1",16,48,"supplemental info"
"other industrial energy use","other industry","1",47,201,"supplemental info"
"other industrial feedstocks","other industry","1",48,201,"supplemental info"
"delivered biomass","process heat cement","1",17,19,"supplemental info"
"delivered coal","process heat cement","1",21,19,"supplemental info"
"wholesale gas","process heat cement","1",14,19,"supplemental info"
"H2 industrial","process heat cement","1",15,19,"supplemental info"
"refined liquids industrial","process heat cement","1",16,19,"supplemental info"
"refining","refined liquids enduse","1",49,22,"supplemental info"
"refining","refined liquids industrial","1",49,16,"supplemental info"
"H2 industrial","refining","1",15,49,"supplemental info"
"regional biomass","refining","1",2,49,"supplemental info"
"regional biomassOil","refining","1",50,49,"supplemental info"
"wholesale gas","refining","1",14,49,"supplemental info"
"elect_td_ind","refining","1",1,49,"supplemental info"
"regional corn for ethanol","refining","1",51,49,"supplemental info"
"regional coal","refining","1",26,49,"supplemental info"
"regional natural gas","refining","1",3,49,"supplemental info"
"regional oil","refining","1",52,49,"supplemental info"
"total biomass","regional biomass","1",53,2,"supplemental info"
"coal","regional coal","1",54,26,"supplemental info"
"traded coal","regional coal","1",55,26,"supplemental info"
"crude oil","regional oil","1",56,52,"supplemental info"
"traded oil","regional oil","1",57,52,"supplemental info"
"elect_td_bld","resid cooling","1",20,202,"supplemental info"
"traditional biomass","resid heating","1",58,203,"supplemental info"
"delivered biomass","resid others","1",17,204,"supplemental info"
"delivered coal","resid others","1",21,204,"supplemental info"
"elect_td_bld","resid others","1",20,204,"supplemental info"
"refined liquids enduse","resid others","1",22,204,"supplemental info"
"traditional biomass","resid others","1",58,204,"supplemental info"
"biomass","total biomass","1",59,53,"supplemental info"
"traded biomass","total biomass","1",60,53,"supplemental info"
"elect_td_trn","trn_aviation_intl","1",12,205,"supplemental info"
"H2 wholesale dispensing","trn_aviation_intl","1",9,205,"supplemental info"
"refined liquids enduse","trn_aviation_intl","1",22,205,"supplemental info"
"elect_td_trn","trn_freight","1",12,206,"supplemental info"
"H2 wholesale dispensing","trn_freight","1",9,206,"supplemental info"
"refined liquids enduse","trn_freight","1",22,206,"supplemental info"
"delivered coal","trn_freight","1",21,206,"supplemental info"
"elect_td_trn","trn_freight_road","1",12,189,"supplemental info"
"H2 retail dispensing","trn_freight_road","1",61,189,"supplemental info"
"refined liquids enduse","trn_freight_road","1",22,189,"supplemental info"
"renewable","trn_pass","1",62,207,"supplemental info"
"elect_td_trn","trn_pass","1",12,207,"supplemental info"
"H2 wholesale dispensing","trn_pass","1",9,207,"supplemental info"
"refined liquids enduse","trn_pass","1",22,207,"supplemental info"
"elect_td_trn","trn_pass_road","1",12,186,"supplemental info"
"H2 retail dispensing","trn_pass_road","1",61,186,"supplemental info"
"refined liquids enduse","trn_pass_road","1",22,186,"supplemental info"
"elect_td_trn","trn_pass_road_LDV","1",12,187,"supplemental info"
"refined liquids enduse","trn_pass_road_LDV","1",22,187,"supplemental info"
"elect_td_trn","trn_pass_road_LDV_4W","1",12,188,"supplemental info"
"H2 retail dispensing","trn_pass_road_LDV_4W","1",61,188,"supplemental info"
"refined liquids enduse","trn_pass_road_LDV_4W","1",22,188,"supplemental info"
"elect_td_trn","trn_shipping_intl","1",12,208,"supplemental info"
"H2 wholesale dispensing","trn_shipping_intl","1",9,208,"supplemental info"
"refined liquids enduse","trn_shipping_intl","1",22,208,"supplemental info"
"gas pipeline","wholesale gas","1",27,14,"supplemental info"
"wholesale gas","agricultural energy use","1",14,194,"supplemental info"
"delivered biomass","alumina","1",17,149,"supplemental info"
"delivered coal","alumina","1",21,149,"supplemental info"
"wholesale gas","alumina","1",14,149,"supplemental info"
"refined liquids industrial","alumina","1",16,149,"supplemental info"
"elect_td_ind","aluminum","1",1,209,"supplemental info"
"chemical energy use","chemical","1",63,210,"supplemental info"
"chemical feedstocks","chemical","1",64,210,"supplemental info"
"delivered biomass","chemical energy use","1",17,63,"supplemental info"
"elect_td_ind","chemical energy use","1",1,63,"supplemental info"
"H2 industrial","chemical energy use","1",15,63,"supplemental info"
"refined liquids industrial","chemical energy use","1",16,63,"supplemental info"
"wholesale gas","chemical feedstocks","1",14,64,"supplemental info"
"oil-credits","chemical feedstocks","1",29,64,"supplemental info"
"refined liquids industrial","chemical feedstocks","1",16,64,"supplemental info"
"delivered biomass","construction energy use","1",17,24,"supplemental info"
"wholesale gas","construction energy use","1",14,24,"supplemental info"
"wholesale gas","csp_backup","1",14,65,"supplemental info"
"csp_backup","elec_CSP","1",65,66,"supplemental info"
"global solar resource","elec_CSP","1",5,66,"supplemental info"
"elec_CSP","electricity","1",66,45,"supplemental info"
"wholesale gas","mining energy use","1",14,200,"supplemental info"
"delivered gas","resid others","1",13,204,"supplemental info"
"H2 retail delivery","resid others","1",23,204,"supplemental info"
"delivered gas","trn_pass_road","1",13,186,"supplemental info"
"delivered gas","trn_pass_road_LDV","1",13,187,"supplemental info"
"delivered gas","trn_pass_road_LDV_4W","1",13,188,"supplemental info"
"delivered coal","agricultural energy use","1",21,194,"supplemental info"
"delivered coal","chemical energy use","1",21,63,"supplemental info"
"delivered biomass","mining energy use","1",17,200,"supplemental info"
"delivered coal","mining energy use","1",21,200,"supplemental info"
"wholesale gas","chemical energy use","1",14,63,"supplemental info"
"delivered gas","comm cooling","1",13,196,"supplemental info"
"delivered biomass","comm heating","1",17,197,"supplemental info"
"elect_td_bld","comm heating","1",20,197,"supplemental info"
"delivered gas","comm heating","1",13,197,"supplemental info"
"H2 retail delivery","comm heating","1",23,197,"supplemental info"
"nuclearFuelGenII","elec_Gen_II_LWR","1",67,68,"supplemental info"
"elec_Gen_II_LWR","electricity","1",68,45,"supplemental info"
"delivered biomass","resid heating","1",17,203,"supplemental info"
"elect_td_bld","resid heating","1",20,203,"supplemental info"
"delivered gas","resid heating","1",13,203,"supplemental info"
"H2 retail delivery","resid heating","1",23,203,"supplemental info"
"refined liquids enduse","resid heating","1",22,203,"supplemental info"
"delivered coal","construction energy use","1",21,24,"supplemental info"
"delivered coal","other industrial feedstocks","1",21,48,"supplemental info"
"regional sugar for ethanol","refining","1",69,49,"supplemental info"
"delivered coal","resid heating","1",21,203,"supplemental info"
"delivered coal","N fertilizer","1",21,150,"supplemental info"
"district heat","agricultural energy use","1",70,194,"supplemental info"
"district heat","chemical energy use","1",70,63,"supplemental info"
"district heat","comm heating","1",70,197,"supplemental info"
"district heat","comm others","1",70,198,"supplemental info"
"district heat","construction energy use","1",70,24,"supplemental info"
"delivered biomass","district heat","1",17,70,"supplemental info"
"delivered coal","district heat","1",21,70,"supplemental info"
"wholesale gas","district heat","1",14,70,"supplemental info"
"refined liquids industrial","district heat","1",16,70,"supplemental info"
"district heat","mining energy use","1",70,200,"supplemental info"
"district heat","other industrial energy use","1",70,47,"supplemental info"
"district heat","resid heating","1",70,203,"supplemental info"
"district heat","resid others","1",70,204,"supplemental info"
"delivered gas","trn_freight_road","1",13,189,"supplemental info"
"delivered coal","chemical feedstocks","1",21,64,"supplemental info"
"delivered gas","resid cooling","1",13,202,"supplemental info"
"natural gas","gas trade statistical differences","1",71,72,"supplemental info"
"natural gas","traded Afr_MidE pipeline gas","1",71,211,"supplemental info"
"gas trade statistical differences","traded Afr_MidE pipeline gas","1",72,211,"supplemental info"
"natural gas","traded EUR pipeline gas","1",71,212,"supplemental info"
"gas trade statistical differences","traded EUR pipeline gas","1",72,212,"supplemental info"
"natural gas","traded LA pipeline gas","1",71,213,"supplemental info"
"gas trade statistical differences","traded LA pipeline gas","1",72,213,"supplemental info"
"natural gas","traded LNG","1",71,214,"supplemental info"
"gas trade statistical differences","traded LNG","1",72,214,"supplemental info"
"natural gas","traded N.Amer pipeline gas","1",71,215,"supplemental info"
"gas trade statistical differences","traded N.Amer pipeline gas","1",72,215,"supplemental info"
"natural gas","traded PAC pipeline gas","1",71,216,"supplemental info"
"gas trade statistical differences","traded PAC pipeline gas","1",72,216,"supplemental info"
